session_id,frame_idx,timestamp_sec,mouth_visible,left_hand_visible,right_hand_visible,mouth_x,mouth_y,scale_ref,left_wrist_x,left_wrist_y,left_distance_wrist_mouth_norm,left_distance_index_mouth_norm,left_distance_middle_mouth_norm,left_distance_thumb_mouth_norm,left_thumb_index_dist_norm,left_index_middle_dist_norm,left_velocity_wrist_toward_mouth,left_speed_wrist_norm,delta_left_wrist_mouth_norm,right_wrist_x,right_wrist_y,right_distance_wrist_mouth_norm,right_distance_index_mouth_norm,right_distance_middle_mouth_norm,right_distance_thumb_mouth_norm,right_thumb_index_dist_norm,right_index_middle_dist_norm,right_velocity_wrist_toward_mouth,right_speed_wrist_norm,delta_right_wrist_mouth_norm
S005,0,0.0,1,0,0,0.4388424754142761,0.5767087340354919,0.3676402713522339,,,,,,,,,,,,,,,,,,,,,,
S005,1,0.06666666666666667,1,0,0,0.43622180819511414,0.5655474662780762,0.36765892823044605,,,,,,,,,,,,,,,,,,,,,,
S005,2,0.13333333333333333,1,0,0,0.44732674956321716,0.5345163345336914,0.36293331830081443,,,,,,,,,,,,,,,,,,,,,,
S005,3,0.2,1,0,0,0.44707873463630676,0.5343811511993408,0.36335241435121607,,,,,,,,,,,,,,,,,,,,,,
S005,4,0.26666666666666666,1,0,0,0.4455532431602478,0.5216841101646423,0.36946822799129636,,,,,,,,,,,,,,,,,,,,,,
S005,5,0.3333333333333333,1,0,0,0.4337318241596222,0.5161755681037903,0.38108576977612996,,,,,,,,,,,,,,,,,,,,,,
S005,6,0.4,1,0,0,0.4147069454193115,0.5172998905181885,0.3795465656139071,,,,,,,,,,,,,,,,,,,,,,
S005,7,0.4666666666666667,1,0,0,0.3975047469139099,0.5401813387870789,0.37458129776704996,,,,,,,,,,,,,,,,,,,,,,
S005,8,0.5333333333333333,1,0,0,0.39754170179367065,0.540292501449585,0.3739587523943023,,,,,,,,,,,,,,,,,,,,,,
S005,9,0.6,1,0,0,0.4130490720272064,0.5694312453269958,0.3922804618480236,,,,,,,,,,,,,,,,,,,,,,
S005,10,0.6666666666666666,1,0,0,0.4412609040737152,0.5693631172180176,0.39050407242914864,,,,,,,,,,,,,,,,,,,,,,
S005,11,0.7333333333333333,1,0,0,0.4479506313800812,0.5729196667671204,0.39913105189740766,,,,,,,,,,,,,,,,,,,,,,
S005,12,0.8,1,0,0,0.4514866769313812,0.5704070925712585,0.3981845434057855,,,,,,,,,,,,,,,,,,,,,,
S005,13,0.8666666666666667,1,0,0,0.45171183347702026,0.5705905556678772,0.398294155803843,,,,,,,,,,,,,,,,,,,,,,
S005,14,0.9333333333333333,1,0,0,0.44404199719429016,0.5770798325538635,0.39828217554192924,,,,,,,,,,,,,,,,,,,,,,
S005,15,1.0,1,0,0,0.4543974995613098,0.599005937576294,0.40013443372622387,,,,,,,,,,,,,,,,,,,,,,
S005,16,1.0666666666666667,1,0,0,0.4685412645339966,0.6091494560241699,0.4178934933029901,,,,,,,,,,,,,,,,,,,,,,
S005,17,1.1333333333333333,1,0,0,0.475984662771225,0.6121969819068909,0.42976991915866536,,,,,,,,,,,,,,,,,,,,,,
S005,18,1.2,1,0,0,0.4761028289794922,0.6122381687164307,0.42864069704552693,,,,,,,,,,,,,,,,,,,,,,
S005,19,1.2666666666666666,1,0,0,0.4910505712032318,0.615344762802124,0.4332144588719446,,,,,,,,,,,,,,,,,,,,,,
S005,20,1.3333333333333333,1,0,0,0.5008552670478821,0.6134021878242493,0.4346339597836118,,,,,,,,,,,,,,,,,,,,,,
S005,21,1.4,1,0,0,0.5076014399528503,0.6140508651733398,0.43370576398085625,,,,,,,,,,,,,,,,,,,,,,
S005,22,1.4666666666666666,1,0,0,0.5096321702003479,0.6198618412017822,0.4353826813760728,,,,,,,,,,,,,,,,,,,,,,
S005,23,1.5333333333333334,1,0,0,0.5094466209411621,0.620449960231781,0.4361619685573962,,,,,,,,,,,,,,,,,,,,,,
S005,24,1.6,1,0,0,0.5075221061706543,0.6182429194450378,0.4344501937349687,,,,,,,,,,,,,,,,,,,,,,
S005,25,1.6666666666666667,1,0,0,0.5047894716262817,0.6189213395118713,0.4377349791376344,,,,,,,,,,,,,,,,,,,,,,
S005,26,1.7333333333333334,1,0,0,0.5039739608764648,0.6029684543609619,0.432201098150492,,,,,,,,,,,,,,,,,,,,,,
S005,27,1.8,1,0,0,0.4956754148006439,0.5829367637634277,0.4260924181418818,,,,,,,,,,,,,,,,,,,,,,
S005,28,1.8666666666666667,1,0,0,0.49542680382728577,0.5831326842308044,0.4266714672368204,,,,,,,,,,,,,,,,,,,,,,
S005,29,1.9333333333333333,1,0,0,0.4774264991283417,0.5887356400489807,0.42316034447662787,,,,,,,,,,,,,,,,,,,,,,
S005,30,2.0,1,0,0,0.4631956219673157,0.5945411324501038,0.4118827183110737,,,,,,,,,,,,,,,,,,,,,,
S005,31,2.066666666666667,1,0,0,0.45620906352996826,0.5889015793800354,0.40305447771511366,,,,,,,,,,,,,,,,,,,,,,
S005,32,2.1333333333333333,1,0,0,0.44938650727272034,0.5802208781242371,0.3904981457543262,,,,,,,,,,,,,,,,,,,,,,
S005,33,2.2,1,0,0,0.44948840141296387,0.5802858471870422,0.38977589064703944,,,,,,,,,,,,,,,,,,,,,,
